Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
8670870,"Fort Pulaski, GA",1935,2025,91,98,3.67,0.26,1.2,0.09,32.0347,-80.9030
8720030,"Fernandina Beach, FL",1897,2025,129,88,2.31,0.17,0.76,0.06,30.6714,-81.4658
8720218,"Mayport, FL",1928,2025,98,100,2.92,0.24,0.96,0.08,30.3982,-81.4279
8721604,"Port Canaveral, FL",1994,2025,32,99,6.41,1.31,2.1,0.43,28.4158,-80.5931
8722670,"Lake Worth Pier, FL",1970,2025,56,52,4.12,0.5,1.35,0.16,26.6128,-80.0342
8723214,"Virginia Key, FL",1931,2025,95,95,3.2,0.21,1.05,0.07,25.7314,-80.1618
8723970,"Vaca Key, FL",1971,2025,55,94,4.19,0.39,1.37,0.13,24.7110,-81.1065
8724580,"Key West, FL",1913,2025,113,99,2.64,0.15,0.87,0.05,24.5557,-81.8079
8725110,"Naples, FL",1965,2023,59,98,3.35,0.42,1.1,0.14,26.1317,-81.8075
8725520,"Fort Myers, FL",1965,2025,61,98,3.62,0.4,1.19,0.13,26.6478,-81.8711
8726384,"Port Manatee, FL",1976,2025,50,60,5.46,0.63,1.79,0.21,27.6387,-82.5621
8726520,"St. Petersburg, FL",1947,2025,79,100,3.13,0.23,1.03,0.07,27.7606,-82.6269
8726607,"Old Port Tampa, FL",1995,2025,31,83,6.04,0.87,1.98,0.28,27.8578,-82.5528
8726674,"East Bay, FL",1976,2025,50,55,5.5,0.79,1.81,0.26,27.9231,-82.4214
8726724,"Clearwater Beach, FL",1973,2025,53,91,4.36,0.48,1.43,0.16,27.9783,-82.8317
8727520,"Cedar Key, FL",1914,2025,112,88,2.39,0.18,0.78,0.06,29.1350,-83.0317
8728690,"Apalachicola, FL",1967,2025,59,96,3.05,0.53,1,0.18,29.7244,-84.9806
8729108,"Panama City, FL",1973,2025,53,98,3.08,0.51,1.01,0.17,30.1497,-85.6644
8729210,"Panama City Beach, FL",1989,2025,37,84,4.86,0.75,1.6,0.25,30.2138,-85.8786
8729840,"Pensacola, FL",1923,2025,103,99,2.72,0.22,0.89,0.07,30.4044,-87.2112
8735180,"Dauphin Island, AL",1966,2025,60,87,4.37,0.51,1.43,0.17,30.2500,-88.0750
8737048,"Mobile State Docks, AL",1980,2025,46,46,4.62,1.22,1.52,0.4,30.7046,-88.0396
8747437,"Bay Waveland, MS",1978,2025,48,92,4.59,0.63,1.51,0.21,30.3263,-89.3258
8761724,"Grand Isle, LA",1947,2025,79,96,9.13,0.35,3,0.11,29.2633,-89.9567
8761927,"New Canal, LA",1982,2025,44,69,5.99,0.94,1.97,0.31,30.0272,-90.1133
8770570,"Sabine Pass, TX",1958,2020,63,88,6.16,0.74,2.02,0.24,29.7284,-93.8701
8770613,"Morgans Point, TX",1993,2025,33,97,3.8,1.22,1.25,0.4,29.6817,-94.9850
8770822,"Texas Point, TX",1958,2025,68,89,5.76,0.61,1.89,0.2,29.6893,-93.8418
8771013,"Eagle Point, TX",1993,2025,33,98,12.19,1.33,4,0.44,29.4813,-94.9173
8771341,"Galveston Bay Entrance, TX",1957,2025,69,89,6.59,0.49,2.16,0.16,29.3575,-94.7247
8771450,"Galveston Pier 21, TX",1904,2025,122,100,6.63,0.21,2.17,0.07,29.3100,-94.7933
8771510,"Galveston Pleasure Pier, TX",1957,2011,55,91,6.62,0.69,2.17,0.23,29.2853,-94.7894
8772447,"Freeport, TX",1954,2020,49,100,4.21,0.72,1.38,0.23,28.9433,-95.3025
8772471,"Freeport Harbor, TX",1954,2025,54,100,3.51,0.58,1.15,0.19,28.9357,-95.2942
8774770,"Rockport, TX",1937,2025,89,79,6.04,0.43,1.98,0.14,28.0217,-97.0467
8775792,"Packery Channel, TX",1988,2025,38,54,6.13,1.05,2.01,0.34,27.6333,-97.2367
8775870,"Corpus Christi, TX",1983,2022,40,97,5.48,0.98,1.8,0.32,27.5800,-97.2167
8778490,"Port Mansfield, TX",1963,2025,63,91,3.73,0.59,1.23,0.19,26.5576,-97.4257
8779748,"South Padre Island, TX",1958,2025,68,56,4.09,0.44,1.34,0.15,26.0731,-97.1675
8779770,"Port Isabel, TX",1944,2025,82,97,4.35,0.3,1.43,0.1,26.0612,-97.2155
9410170,"San Diego, CA",1906,2025,120,99,2.22,0.16,0.73,0.05,32.7156,-117.1767
9410230,"La Jolla, CA",1924,2025,102,98,2.02,0.21,0.66,0.07,32.8669,-117.2571
9410660,"Los Angeles, CA",1923,2025,103,100,1.07,0.2,0.35,0.07,33.7200,-118.2720
9410840,"Santa Monica, CA",1933,2025,93,91,1.52,0.28,0.5,0.09,34.0083,-118.5000
9411340,"Santa Barbara, CA",1973,2025,53,66,1.05,0.78,0.35,0.25,34.4046,-119.6925
9412110,"Port San Luis, CA",1945,2025,81,96,0.99,0.32,0.32,0.1,35.1689,-120.7542
9413450,"Monterey, CA",1973,2025,53,100,1.77,0.63,0.58,0.21,36.6089,-121.8914
9414290,"San Francisco, CA",1897,2025,129,100,1.99,0.17,0.65,0.05,37.8063,-122.4659
9414523,"Redwood City, CA",1974,2025,52,59,2.74,1.24,0.9,0.41,37.5068,-122.2119
9414750,"Alameda, CA",1939,2025,87,100,0.94,0.35,0.31,0.11,37.7720,-122.3003
9414863,"Richmond, CA",1979,2025,47,66,3.35,1.42,1.1,0.47,37.9283,-122.4000
9415020,"Point Reyes, CA",1975,2025,51,100,2.15,0.68,0.71,0.22,37.9942,-122.9736
9415144,"Port Chicago, CA",1976,2025,50,99,1.96,1.14,0.64,0.37,38.0560,-122.0395
9416841,"Arena Cove, CA",1978,2025,48,84,1.15,0.77,0.38,0.25,38.9146,-123.7111
9418767,"North Spit, CA",1977,2025,49,99,5.08,0.71,1.67,0.23,40.7669,-124.2173
9419750,"Crescent City, CA",1933,2025,93,98,-0.76,0.25,-0.25,0.08,41.7456,-124.1844
9431647,"Port Orford, OR",1977,2025,49,89,-0.05,0.85,-0.02,0.28,42.7390,-124.4983
9432780,"Charleston, OR",1970,2025,56,99,1.12,0.59,0.37,0.19,43.3450,-124.3220
9435380,"South Beach, OR",1967,2025,59,100,1.75,0.54,0.57,0.18,44.6254,-124.0449
9437540,"Garibaldi, OR",1970,2025,56,55,2.44,0.58,0.8,0.19,45.5545,-123.9189
9439040,"Astoria, OR",1925,2025,101,99,-0.15,0.28,-0.05,0.09,46.2073,-123.7683
9440910,"Toke Point, WA",1973,2025,53,97,0.45,0.66,0.15,0.22,46.7075,-123.9669
9443090,"Neah Bay, WA",1934,2025,92,98,-1.7,0.25,-0.56,0.08,48.3707,-124.6016
9444090,"Port Angeles, WA",1975,2025,51,100,0.46,0.65,0.15,0.21,48.1250,-123.4400
9444900,"Port Townsend, WA",1972,2025,54,100,1.82,0.55,0.6,0.18,48.1112,-122.7597
9447130,"Seattle, WA",1899,2025,127,100,2.09,0.13,0.69,0.04,47.6026,-122.3393
9449424,"Cherry Point, WA",1973,2025,53,100,-0.04,0.57,-0.01,0.19,48.8627,-122.7586
9449880,"Friday Harbor, WA",1934,2025,92,99,1.19,0.23,0.39,0.08,48.5453,-123.0125
9450460,"Ketchikan, AK",1919,2025,107,99,-0.36,0.2,-0.12,0.06,55.3319,-131.6261
9451600,"Sitka, AK",1924,2025,102,88,-2.46,0.24,-0.81,0.08,57.0517,-135.3420
9452210,"Juneau, AK",1936,2025,90,97,-13.51,0.3,-4.43,0.1,58.2988,-134.4106
9452400,"Skagway, AK",1944,2025,82,84,-18.13,0.43,-5.95,0.14,59.4508,-135.3280
9453220,"Yakutat, AK",1988,2025,38,97,-15.4,0.95,-5.05,0.31,59.5485,-139.7334
9454050,"Cordova, AK",1988,2025,38,96,-0.54,0.87,-0.18,0.29,60.5583,-145.7530
9454240,"Valdez, AK",1988,2025,38,98,-8.77,0.95,-2.88,0.31,61.1250,-146.3620
9455090,"Seward, AK",1964,2025,62,88,-3.08,0.53,-1.01,0.17,60.1193,-149.4281
9455500,"Seldovia, AK",1964,2025,62,97,-9.51,0.61,-3.12,0.2,59.4405,-151.7199
9455760,"Nikiski, AK",1973,2025,53,61,-10.12,0.81,-3.32,0.27,60.6833,-151.3980
9455920,"Anchorage, AK",1972,2025,54,88,-0.69,0.77,-0.23,0.25,61.2375,-149.8904
9457292,"Kodiak Island, AK",1964,2024,61,77,-9.53,0.68,-3.13,0.22,57.7317,-152.5120
9459450,"Sand Point, AK",1972,2024,53,99,2.04,0.78,0.67,0.26,55.3317,-160.5043
9461380,"Adak Island, AK",1957,2025,69,93,-2.3,0.33,-0.75,0.11,51.8606,-176.6376
9462620,"Unalaska, AK",1957,2024,68,88,-4.18,0.46,-1.37,0.15,53.8792,-166.5403
9463502,"Port Moller, AK",1984,2025,42,47,4.02,1.37,1.32,0.45,55.9858,-160.5736
9468756,"Nome, AK",1992,2025,34,88,4.15,1.99,1.36,0.65,64.4946,-165.4396
9497645,"Prudhoe Bay, AK",1988,2025,38,97,4.28,1.23,1.4,0.4,70.4114,-148.5317
9751401,"Lime Tree Bay, VI",1977,2025,49,89,2.71,0.51,0.89,0.17,17.6947,-64.7538
9751639,"Charlotte Amalie, VI",1975,2025,51,91,2.21,0.48,0.72,0.16,18.3306,-64.9258
9755371,"San Juan, PR",1962,2025,64,93,2.16,0.32,0.71,0.11,18.4589,-66.1164
9759110,"Magueyes Island, PR",1955,2025,71,96,2.06,0.27,0.68,0.09,17.9701,-67.0464
